2025/02/16 02:47:35.669602 开始执行程序...
2025/02/16 02:47:35.670125 ----------------------------------------
2025/02/16 02:47:35.670659 处理钱包地址: MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa
2025/02/16 02:47:35.670659 开始获取钱包 MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa 的代币列表...
2025/02/16 02:47:35.670659 ----------------------------------------
2025/02/16 02:47:36.151882 RPC代币数据: Mint=AuHsTiCrvL7JZ4jkrQxvHTf8oeHRMo5t5REj3XRkpump, Amount=1000000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=5tevumsydbqjSB1WYBJDrPjKUEQ8YFvSMcW9K1Brmoon, Amount=1000000000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=6znB8CtoRwdJ8piFX2ncfUZra7uRpYfZwxZURNhziMUn, Amount=2000000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=7RTV5PgXy2Bxua7TmjbZidAHWMvYEua9DvNhYVpsCe6f, Amount=0, Decimals=0
2025/02/16 02:47:36.151882 RPC代币数据: Mint=4zrWJVoPFfVrSs6Bt7YDm5Lbwt86FeHZUJJ8p9GXpump, Amount=81579510170, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=9XkR8j3ygnygzAcQaURpyE9e5kDb1gqAbJZxAwzZpump, Amount=100000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=FahnZ5aAoyp5cw3JLaGyQYbDm2dcBZCUzMfkqFAtR3da, Amount=100000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=9fZni121E9uqUQYmcCH8PE8xQ7gmby3NkjV9LbWEB3iw, Amount=44196521, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=AgkYco5jmfxe9LTtiaiW194XzgJJmwqNwymd4z7mCSKs, Amount=10000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=Boo2ihpnbgn68dCyUrmR18EMKpLFgJrEBjcfcuaBipto, Amount=44196521, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=3JBjwhq5iFfCYmakLneTNrjVNSfAcBTShnd9iqVmaV9V, Amount=103424000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=3XnYfvco7z3wT91oPo9DPLufP3uuMEJPgwh45qSwX5vw, Amount=300000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=5TejXKWB4wdsdyb1by6nR5fMk45JVykvWhQrxp2Jpump, Amount=3333000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=9acpk5hhietX8BdKgfjjvhYcx9XA5oZG4Bhg78NTF98Y, Amount=1000000000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=CBxSdBMe88xSoXEkjs4nteS4dcJbbg53cNBS5XNkuJcn, Amount=5000000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=F4Y478Q5enMZVYx44MSYKRuSr8B64MRHbU9d5XqHdKM5, Amount=90000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=B6hrDUPbgNwLWgZkZz2rSvD1uPsnQpwZ2EaT6ETuqTfC, Amount=198000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=3G4f2wBbamogMg1UTPcsd2rNQGe5dnfQS5mno6aXpump, Amount=20000000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=9ZcLtHGSxsweJ9KqqxYSM5GV2DjdcuEUC5CiTiW2WcCx, Amount=198000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=4MuNAXBbhRZkp9U9moWRBBEk22M3EDg4nUoUUF9v5FtB, Amount=17360000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=LepsYpiYfCxmoXJBkH8xTD2WsTSapzmMrARLEfbwHCe, Amount=1000000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=APkfSkxMJRE2tUVEnPT5vKqFvEg11W6iWafDXHBcpump, Amount=10556200, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=EiQFPuw5zgXQpLk5XSqvMtKTWjf5xiLRZdHftseDpump, Amount=8000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=FfvhFg4DEXgjMfWEbmkqPQecb7pspgu1gp3pZjWxpump, Amount=1077044000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=wo1zgt8rfrYpvdVi4nidoj1SYfcR4pQx69bmNv2JLhQ, Amount=12000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=DoGWCFQBNVuftv7Fdp48pppMHqC3toXxNC5iXHihZpr2, Amount=44196521, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=CrytUpK2T2PM3oLR3t9qJa93xbuFb6mW1BhEtnbdkuNE, Amount=110000053156, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=9CYyWq82QKRDgRHBquSiZjELP4Tuu1Jn1v9tN6B9SXDk, Amount=3000000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=CpRjLokkkkkzdbk4MhR6XjMcvfb5ufmQmMPozaXnahXu, Amount=2000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=PenguUrdnafcYVeFbSimibrH2e71DPszpxgk3t4ddGn, Amount=88000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=83ae7U3dF7FFAszTE6QKszWfjKffB7rUni5W1iWgZ476, Amount=10, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=3wgkW1MEht4UwD8wJPqUHKfYiaum5V7GfikgKMWDpFx3, Amount=921020480440000, Decimals=8
2025/02/16 02:47:36.151882 RPC代币数据: Mint=6e6rViDzavLRv56nvZye5UofrKDg36mf6dTQrMCoPTW9, Amount=1000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=5bCjWNbSh6VqViiTLdq8uUpMojMWDCNd2VohQLWVaQ56, Amount=100000000000, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=79vJrFFNvbWg9mF43C6taSMFXgUGTHx4cWnLx2Lspump, Amount=14707000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=SHDWyBxihqiCj6YekG2GUr7wqKLeLAMK1gHZck9pL6y, Amount=960637036, Decimals=9
2025/02/16 02:47:36.151882 RPC代币数据: Mint=GKUEDEtazsjKRH5tKLWZhoYymnfyhSzZgK1vxTY8pump, Amount=500000000000, Decimals=6
2025/02/16 02:47:36.151882 RPC代币数据: Mint=Gjrmc1sWsDZfC1hKinXchoUAoehtW7GqRikUYm2wpump, Amount=6719000000, Decimals=6
2025/02/16 02:47:36.152385 RPC代币数据: Mint=ozPUJ7A9w7MvAxrjGhZVMarTG2uCRLTGRd4yHQ7LtdF, Amount=2512158210, Decimals=6
2025/02/16 02:47:36.152390 RPC代币数据: Mint=38XiEGgLXh7YPvaGm9FANYmJgbc4zdAHrdDj9m9AFCzE, Amount=50000000, Decimals=4
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7HrKLqaf79TcmdnkNCaEdgnPd78pTh2nc2BXRaZNqZWo, Amount=17000000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=8d6rP1Lodf4WgRfr1AvwLFmQHNScpWBfK4F8gmNDP1We, Amount=30196521, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=5VcuaoHqYd2gVJT9bMqJwKPR29LgDkw4BmAsEa3AAU9u, Amount=10000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=59KMtYTvk7McpJwztAsXVNPQsDsuv5WpaMNAzAAP96qq, Amount=5000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=7rqbJrD7roUfcSszPLGGu6C7FPEptRSxixEAfAHXVvZP, Amount=1, Decimals=0
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3pd1P7peYEoaWtvwPpAKkE8rVLrDXV4B5Rjo38VjDc6s, Amount=200000000000, Decimals=9
2025/02/16 02:47:36.152397 RPC代币数据: Mint=3zSgyhUqLvDtVnsMnSia6AwxWUE9w3jVMYVV56zzskPG, Amount=25000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=65nTNuJGHme4PQvKQyJykKp1bJAkK4A8Q66sd2yBWugf, Amount=20000000000000, Decimals=6
2025/02/16 02:47:36.152397 RPC代币数据: Mint=EiYguYhvaBx2WE4tewctiGRHSbkFpHicrJFdY694e8jG, Amount=24000000, Decimals=6
